"Time","Latitude","Longitude","Depth_Km","Magnitude"
"42674.57337777778","42.9437","13.2038","7.9","2.7"
"42674.57627719908","43.0168","13.073","9.5","2.3"
"42674.57669375","42.8083","13.0758","9.1","2"
"42674.57942766204","42.7568","13.0577","10.3","2.4"
"42674.58068634259","42.8773","13.0842","9.9","2.4"
"42674.58138310185","43.0162","13.0748","8.699999999999999","2.1"
"42674.586059375","42.7287","13.2567","13.2","2"
"42674.58955127315","42.9003","13.1978","10.6","2.5"
"42674.59081203704","42.7782","13.16","10","2.4"
"42674.59135011574","42.746","13.1752","11","2.4"
"42674.59309641203","42.7258","13.1767","10","2.1"
"42674.59392974537","42.9217","13.2175","8.6","3.2"
"42674.5952582176","42.9303","13.1423","9.699999999999999","2.2"
"42674.59819722222","42.9518","13.1227","8.4","2.4"
"42674.59923634259","42.9212","13.2103","8.199999999999999","2.2"
"42674.6043599537","42.9178","13.0163","10.6","3"
"42674.60509074074","42.8042","13.0562","10.1","2.1"
"42674.60583958333","42.723","13.2425","10.4","2.7"
"42674.60879826389","42.6808","13.2157","14.7","2.8"
"42674.6100681713","42.7913","13.1405","9.699999999999999","2.2"
"42674.61042233797","42.7162","13.1879999999999","10.5","2.4"
"42674.61179108796","42.706","13.1872","14.3","2.1"
"42674.61488622685","42.6858","13.2093","13","2.3"
"42674.61526377315","42.9133","13.1423","10.3","2.7"
"42674.61710810185","42.8102","13.1757","11","2.1"
"42674.61951122685","42.9039999999999","13.1052","10.2","2.4"
"42674.621321875","42.7513","13.1118","11.1","2.4"
"42674.62187916667","42.7653","13.0925","10.9","2.4"
"42674.62431481481","42.7738","13.1535","14.7","2.1"
"42674.62719259259","42.9002","13.1715","10.6","2.3"
"42674.62891087963","43.0073","13.1297","6.7","2.2"
"42674.63054895833","42.9112","13.0493","10.8","2.2"
"42674.63293668981","42.9553","13.1778","10.9","2.2"
"42674.63518784722","42.791","13.2017","10.1","2.5"
"42674.63618078703","42.7172","13.2002","13.6","2.5"
"42674.637","42.9035","13.1587","9","2"
"42674.63832303241","43.0338","13.1025","2.5","2.6"
"42674.63878530093","42.9013","13.1008","9.699999999999999","2.8"
"42674.64003888889","42.8082","13.0448","10.9","2"
"42674.64157824074","42.8968","13.1408","3.1","2.2"
"42674.64402615741","42.6768","13.215","13.3","2.3"
"42674.64525474537","43.0302","13.1032","6.2","2.3"
"42674.64695347222","42.9153","13.1197","10.7","2.2"
"42674.64709085648","42.6789999999999","13.2112","12.2","2.5"
"42674.65305694444","42.8177","13.1437","11.7","2"
"42674.65430601852","42.9167","13.1583","9.199999999999999","2.2"
"42674.658078125","42.7693","13.2618","15.6","2.2"
"42674.66014444445","43.0282","13.1217","6.5","2.9"
"42674.66059837963","42.796","13.1507","10.8","2.8"
"42674.66638738426","42.9022","13.0363","10.5","2.6"
"42674.66746157408","42.7187","13.2752","10.7","2"
"42674.66997847222","43.0675","13.0763","8","2.4"
"42674.67242731481","42.9277","13.1152","9.800000000000001","2.5"
"42674.67368136574","42.7728","13.2067","10.3","2.9"
"42674.67432789352","42.693","13.1767","13.5","2.7"
"42674.67913043981","42.8078","13.161","10.5","2"
"42674.68117534722","42.7808","13.06","10.3","2"
"42674.6845494213","42.8512","13.261","15.5","2.3"
"42674.68696400463","42.9068","13.1467","9.199999999999999","2.2"
"42674.68848576389","43.0557","13.1273","8.4","3.3"
"42674.69038449074","42.9225","13.2173","8.4","2.4"
"42674.6926224537","43.0293","13.0773","6.9","2.4"
"42674.69817569444","42.6742","13.2038","13.8","2.6"
"42674.69909791667","42.7715","13.1642","10.7","2.2"
"42674.70134791666","42.8067","13.0487","9.9","2.1"
"42674.70184351852","42.8817","12.8285","15.2","2.2"
"42674.70301666667","42.8748","13.0607","9.9","3.1"
"42674.70349282408","42.7607","13.0807","10.1","2.2"
"42674.70634861111","42.6397","13.0968","9.699999999999999","2.1"
"42674.7109537037","42.9947","13.1427","7.1","2.5"
"42674.71394097222","42.7518","13.1445","15.6","3.2"
